"file","title","creator","license","license_url","source_url","image_url"
"hero-medical.jpg","WW1 Australian Hospital, Harefield, England","Aussie~mobs","PDM 1.0","https://creativecommons.org/publicdomain/mark/1.0/","https://www.flickr.com/photos/70994841@N07/16957806488","https://live.staticflickr.com/7644/16957806488_67d3fe2b9e_b.jpg"
"home-about-care.jpg","Doctor & Malaika","chimothy27","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/8641421@N07/4531270116","https://live.staticflickr.com/4033/4531270116_feb8502a6f_b.jpg"
"program-overview.jpg","Malburns Writer @ the healthcare panel","Daneel Ariantho","BY-ND 2.0","https://creativecommons.org/licenses/by-nd/2.0/","https://www.flickr.com/photos/31378238@N00/2631278035","https://live.staticflickr.com/3141/2631278035_9f89d7ddf3_b.jpg"
"service-diagnosis.jpg","Test tubes","H̴kan Dahlstr̦m","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/93755244@N00/3945656390","https://live.staticflickr.com/3431/3945656390_2d78b9c0b1_b.jpg"
"service-pain-care.jpg","hGraph trends, suggestions, + consult","juhansonin","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/38869431@N00/4820659509","https://live.staticflickr.com/4118/4820659509_6079b309c8_b.jpg"
"service-chronic-care.jpg","Postcard from Margaret Ripley to her mother, 26 November 1914","whatsthatpicture","PDM 1.0","https://creativecommons.org/publicdomain/mark/1.0/","https://www.flickr.com/photos/24469639@N00/6223351743","https://live.staticflickr.com/6116/6223351743_7466884ded_b.jpg"
"service-genetic.jpg","DNA lab","umseas","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/26835854@N07/6946913449","https://live.staticflickr.com/7208/6946913449_e8ac6ff7d7_b.jpg"
"service-education.jpg","EMT/Nursing Pediatric Emergency Simulation - April 2013 34","COD Newsroom","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/41431665@N07/8637915891","https://live.staticflickr.com/8542/8637915891_41bd45aae3_b.jpg"
"success-1.jpg","recuperacion a tu alcance.","yosoyelmo1","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/47784253@N00/223478688","https://live.staticflickr.com/71/223478688_4535d0b9a9_b.jpg"
"success-2.jpg","Access to healthcare after the floods","DFID - UK Department for International Development","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/14214150@N02/5366845809","https://live.staticflickr.com/5004/5366845809_f1cc594900_b.jpg"
"success-3.jpg","008","US Army Africa","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/36281822@N08/5725061669","https://live.staticflickr.com/5132/5725061669_e90df91131_b.jpg"
"map-placeholder.jpg","Portland GPS Logs - 2008-2012","aaronparecki","BY 2.0","https://creativecommons.org/licenses/by/2.0/","https://www.flickr.com/photos/10970592@N04/6958126945","https://live.staticflickr.com/7041/6958126945_7cfb576df9_b.jpg"
